Nom du minion;Texte affichage ATK;Interprétation du JSON pour l’attaque;Analyse ATK (écart / mécanique non gérée);Texte affichage DEF;Interprétation du JSON pour la défense;Analyse IA DEF (affichage vs JSON);Tokens de l’ennemi;Ce que l’app sait gérer pour ces tokens
Vaurien (bleu-bleu-011);"Résumé combat : petite suite → 0 ; grande suite → 0. Détail : moitié des CP du minion en dégâts / tous ses CP en dégâts ; début de tour +2 CP.";Petite suite : formule ceil(minionCp/2), damage=0. Grande : effet nul. Action textuelle de début de tour : +2 CP, non structurée.;"Formules ignorées : deux suites à 0. Le +2 CP n’est pas exécuté ; seul le +1 CP générique d’entretien peut s’appliquer.";Résumé combat : vide.;"4 dés. Condition number=2 : vole 1 CP ; deuxième condition identique sans effet.";Non géré : aucune interprétation de la condition ou du vol de CP.;Première Frappe (initial).;"Traitement ad hoc : l’ennemi commence en premier. Le token est appSupported=false et sa consommation n’est pas généralisée ; la comparaison dépend du libellé exact."
Épée Fantôme (bleu-bleu-012);"Résumé combat : 3B/4B/5B → 5/6/7 dégâts (paliers bas via fallback) ; rappel Parasite.";Trois objectifs 3B, 4B, 5B. Seule l’action 5B→7 est structurée. Règle conditionnelle : 3 valeurs identiques → Parasite.;Dégâts probablement récupérés par parsing textuel pour 3B/4B, donc fragile. 5B→7 fiable. Parasite non appliqué.;Résumé combat : vide.;1 dé quelconque. Retourne ceil(valeur du dé / 2) dégâts via formule.;Non géré : formule et condition any ignorées.;Parasite.;Reconnu pour l’affichage, appSupported=false. Aucune mécanique ni application automatique pour cet ennemi.
Elfe Flétri (bleu-bleu-013);"Résumé combat : micro/petite/grande suite → 0/0/0 ; rappel Parasite. Détail textuel : 5 / Parasite+7 / Dépérissement+9.";"Les trois actions ont damage=0. Petite contient Parasite ; micro n’a aucun token ; grande omet Dépérissement.";Attaque largement incorrecte : le zéro structuré empêche le fallback texte. Aucun dégât ni token n’est appliqué.;Résumé combat : vide.;5 dés. Condition number=2, tous les effets à zéro.;Aucune mécanique exploitable dans les données et aucun traitement automatique.;"Parasite ; Dépérissement.";"Tous deux reconnus visuellement. Parasite est non supporté ; Dépérissement est marqué supporté mais sans effet automatique fiable ici. Aucun n’est appliqué."
Banshie Hurlante (bleu-bleu-014);"Résumé combat : objectifs 2R/3R/4R/5R, valeurs 2/3/4/5 selon fallback ; rappel Silence. Détail : dégâts collatéraux à tous les adversaires, Silence si un seul adversaire.";Quatre objectifs rouges. Seule l’action 5R→5 est structurée. conditionalRule Silence si un seul adversaire.;Valeurs basses dépendantes du parsing texte. Les dégâts sont appliqués au héros actif seulement, pas à tous. Silence conditionnel ignoré.;Résumé combat : vide.;2 dés. Condition 1 rouge, effets à zéro.;Aucun effet défensif exploitable ou automatisé.;Silence.;Reconnu pour l’UI, appSupported=false. Quelques contrôles de Silence existent ailleurs, mais cet ennemi ne l’inflige pas automatiquement.
Centaure Enragé (bleu-bleu-015);"Résumé combat : 2B+1O→4 ; 2B+2O→5 ; 2B+2O+1R→6 attendu. Détail : défausse un token positif aléatoire.";"Trois objectifs. Seule l’action médiane 2B+2O→5 est structurée ; action textuelle de défausse sans effet.";Palier 4 via fallback, palier 5 fiable, palier 6 incertain/non résolu. Suppression aléatoire d’un token positif non gérée.;Résumé combat : vide.;3 dés. Un orange inflige À Terre.;Non géré : À Terre n’est pas appliqué par la défense.;"Première Frappe (initial) ; À Terre.";Première Frappe modifie l’ordre initial. À Terre est reconnu et marqué supporté dans le catalogue, mais aucune mécanique complète ni application automatique depuis cette défense.
Chevalier à la Hache (bleu-bleu-016);"Résumé combat : petite suite→6 ; grande suite→9. Détail : soigne 2 ; en cas d’échec gagne 3 Dégâts Bonus.";Petite/grande suite : damage=6/9 et heal=2. Action d’échec textuelle encodée de façon incohérente avec damage=3 + token « Dégâts Bonus ».;Dégâts 6/9 appliqués. Soin parsé mais ignoré. Échec ignoré. Token générique introuvable dans le catalogue.;Résumé combat : vide.;"4 dés. Blanc retourne 1 ; orange prévient 2 ; rouge prévient 1, mais structure partielle.";Non géré : aucun effet de défense automatique.;Dégâts Bonus.;Aucune entrée exacte. Le catalogue ne contient que Dégat Bonus 1 à 4, tous appSupported=false. Affichage en fallback possible, aucune sémantique.
Panthère Ténébreuse (bleu-bleu-017);"Résumé combat : 3B/4B/5B→6/7/8 ; rappel Hémorragie.";"Trois objectifs ; seule action 5B→8 structurée. Trois valeurs identiques → Hémorragie via conditionalRule.";Dégâts 6/7 via fallback et 8 fiable. Hémorragie conditionnelle ignorée.;Résumé combat : vide.;"1 dé. Blanc → Hémorragie ; rouge → 2 Hémorragies, mais le JSON encode returnDamage=2 + une seule Hémorragie.";Non géré et données incohérentes : aucun token ni retour automatique.;"Première Frappe (initial) ; Hémorragie.";"Première Frappe gère l’ordre. Hémorragie est reconnue visuellement mais non appliquée ; même ajoutée en français, elle ne déclenche pas le handler exact « Bleed »."
Harpie Cornue (bleu-bleu-018);Résumé combat : 2O/3O/4O/5O→3/4/5/6 dégâts imparables.;"Quatre objectifs orange ; seule action 5O→6 imparable structurée. Les autres valeurs sont dans le texte.";Dégâts et caractère imparable sont récupérés, mais les paliers bas dépendent du fallback textuel.;Résumé combat : vide.;3 dés. Conditions 1O et number=2, effets tous à zéro.;Aucun effet défensif déclaré de manière exploitable ou automatisé.;Première Frappe (initial).;"Gère l’ordre initial uniquement ; token non supporté génériquement et consommation non généralisée."
Elfe Agile (bleu-bleu-019);"Résumé combat : 3B + 2O → 6 dégâts. Détail : Eboulissement +6 ; début de tour retire toutes les altérations positives du joueur.";Action principale : 6 dégâts sans token. Action textuelle de purge des tokens positifs avec effets nuls.;Seuls 6 dégâts sont appliqués. Eboulissement et suppression des tokens positifs ignorés.;Résumé combat : vide.;"1 dé. Soigne selon la valeur du dé et le nombre de minions en jeu ; heal=0, aucune formule structurée.";Non géré : formule absente et defensePlan ignoré.;Eboulissement.;Alias reconnu et appSupported=true, mais cet ennemi ne l’ajoute pas. Le comportement complet du token n’est pas piloté par le catalogue.
Farceur (bleu-bleu-020);"Résumé combat : 1B + 2O + 1R → 4 dégâts imparables. Détail : dé supplémentaire ; blanc vole 2 CP ; orange défausse 1 carte ; rouge fait les deux.";"Action principale : 4 imparables. Actions séparées : blanc stealCp=2 ; orange discardCards=1 ; rouge effets nuls. Aucun extraRoll relié.";Seuls 4 dégâts imparables. Dé supplémentaire, vol de CP et défausse ignorés.;Résumé combat : vide.;5 dés. Condition number=2 → prévient 3 dégâts.;Non géré : condition number et prévention ignorées.;Première Frappe (initial).;Gère l’ordre initial. Pas de consommation générique ni de normalisation de libellé.
Bandit sans Âme (bleu-bleu-021);Résumé combat : 3B/4B/5B→5/6/7. Détail : 3 valeurs identiques → tous les adversaires engagés perdent 1 CP.;"Trois objectifs ; seule action 5B→7 structurée. Règle conditionnelle de perte de CP stockée en texte avec effets nuls.";Dégâts récupérés, paliers bas via fallback. Perte de CP et portée multi-adversaires ignorées.;Résumé combat : vide.;"3 dés. Retourne 1 dégât par blanc et par rouge ; structure réduite à returnDamage=1 sans répétition/formule.";Non géré : aucun calcul de retour automatique.;Première Frappe (initial).;Gère seulement l’ordre initial.
Vibra l’Ésotérique (bleu-bleu-022);"Résumé combat : 2B + 1/2/3O → 4/5/6 dégâts. Détail : début de tour gagne Chaos ; à 3 Chaos, les dépense et se soigne du montant des dégâts.";"Trois objectifs ; seule action maximale 2B+3O→6 structurée. Action de début de tour textuelle et vide.";Dégâts 4/5 via fallback, 6 fiable. Cycle Chaos et soin dynamique entièrement ignorés.;Résumé combat : vide.;4 dés. Vole 1 PV par orange, mais stealHp=0 dans la structure.;Non géré : vol absent et defensePlan ignoré.;"Première Frappe (initial) ; Chaos.";"Première Frappe gère l’ordre. Chaos n’a aucun traitement spécifique pour Vibra, contrairement aux profils 003/004 ; maxStack catalogue incohérent avec le seuil de 3."
Yokai (bleu-bleu-023);"Résumé combat : 4O → 0. Détail : lancer un dé ; blanc 4 imparables ; orange vole 3 PV ; rouge vole 4 PV ; échec Silence + Sort 6.";"Action principale 4O : damage=0, extraRoll=null. Résultats B/O/R stockés comme actions sœurs. Action d’échec contient seulement Silence ; Sort 6 absent.";Attaque validée mais effet nul. Aucun dé supplémentaire, aucun dégât/vol, aucun token d’échec.;Résumé combat : vide.;3 dés. Vole 1 PV par orange, mais stealHp=0.;Non géré : aucun vol automatique.;"Silence ; Sort 6.";"Tous deux reconnus mais appSupported=false. Aucun n’est appliqué ; Sort 6 est en plus absent de l’action structurée d’échec."
Level 2 Minion (blue-generic);"Résumé combat : texte brut « Precise strike: 4 damage » et « Pressure: -1 CP » ; pas de résolution automatique fiable.";"Plan style=none. Action textuelle à 4 dégâts ; Pressure a stealCp=0.";Profil de repli, pas une carte bleue numérotée. Le style none retourne sans résolution : attaque manuelle/affichée seulement.;Résumé combat : vide.;2 dés. Texte « Blocks 2 damage », mais prevent=0.;Non automatisé et probablement vide, car le champ top-level defense n’est pas alimenté.;Aucun token.;Sans objet.
